"hora_id_ref","id_linha","sentido_linha","let_cod_linha","let_destino","let_origem","meta_qtde_onibus"
"00",34740,2,"5106-21","TERM. ÁGUA ESPRAIADA","JD. SELMA",3
"00",1180,1,"6L04-10","TERM. PARELHEIROS","JD. ORIENTAL/FONTES",1
"00",33685,2,"2705-10","METRÔ ITAQUERA","JD. FANGANIELO",1
"00",33914,2,"6055-10","SHOP. INTERLAGOS (VIA JD. SÃO BERNARDO)","EST. MENDES/VL. NATAL",1
"00",34689,2,"2735-10","METRÔ PENHA","JD. KERALUX",1
"00",34773,2,"6L10-41","TERM. VARGINHA","MESSIÂNICA",2
"00",33927,2,"6L10-10","PQ. FLORESTAL   ","TERM. VARGINHA",1
"00",33386,2,"971T-10","METRÔ SANTANA","VL. STA. MARIA",1
"00",833,1,"1021-10","TERM. PIRITUBA","COHAB BRASILÂNDIA",1
"00",33105,2,"4721-10","METRÔ JABAQUARA","SHOP. PLAZA SUL",1
"00",2023,1,"8012-10","CID. UNIVERSITÁRIA","METRÔ BUTANTÃ",1
"00",33736,2,"3033-10","SÃO MATEUS","GUAIANASES",1
"00",1637,1,"573A-10","VL. ALPINA","METRÔ BRESSER",1
"00",34414,2,"5103-10","MOEMA","TERM. SACOMÃ",1
"00",593,1,"5175-10","PÇA. DA SÉ","BALN. SÃO FRANCISCO",16
"00",2196,1,"407G-10","METRÔ CARRÃO","JD. NOVA VITÓRIA",1
"00",2145,1,"4052-10","METRÔ ITAQUERA","CPTM GUAIANASES",1
"00",2167,1,"407F-10","METRÔ BELÉM","TERM. SÃO MATEUS",2
"00",885,1,"9181-10","LAPA","VL. TEREZINHA",1
"00",1125,1,"5123-10","HOSP. SÃO PAULO","JD. MIRIAM",1
"00",33666,2,"2009-10","CPTM GUAIANASES","JD. ROBRU",1
"00",1670,1,"5020-10","TERM. SACOMÃ","HOSP. HELIÓPOLIS",1
"00",657,1,"701U-10","CID. UNIVERSITÁRIA","METRÔ SANTANA",1
"00",32902,2,"2060-10","METRÔ ARTUR ALVIM","TERM. A. E. CARVALHO",1
"00",34947,2,"4005-10","BARRO BRANCO","TERM. CID. TIRADENTES",1
"00",34847,2,"8072-10","METRÔ MORUMBI","PQ. IPÊ",1
"00",33421,2,"1788-10","METRÔ SANTANA","JD. FONTÁLIS",3
"00",35136,2,"N435-11","METALÚRGICOS","TERM. CID. TIRADENTES",1
"00",1423,1,"948A-10","METRÔ BARRA FUNDA","VL. ZATT",1
"00",507,1,"775P-10","METRÔ ANA ROSA","JD. GUARAÚ",1
"00",1261,1,"8017-10","TERM. PIRITUBA","CPTM VL. AURORA",1
"00",1585,1,"6093-10","TERM. GRAJAÚ","VARGEM GRANDE",1
"00",34583,2,"9032-21","TERM. CACHOEIRINHA","JD. DAMASCENO",1
"00",33968,2,"6008-10","EST. STO. AMARO/GUIDO CALOI","JD. PLANALTO",1
"00",2320,1,"N231-11","PEDRA BRANCA","TERM. CACHOEIRINHA",1
"00",420,1,"8062-10","LAPA","PQ. SÃO DOMINGOS",1
"00",33236,2,"6250-10","TERM. BANDEIRA","JD. JAQUELINE",1
"00",2262,1,"2020-10","METRÔ TUCURUVI","HORTO FLORESTAL",1
"00",456,1,"917H-10","METRÔ VL. MARIANA","TERM. PIRITUBA",2
"00",2388,1,"N536-11","JD. ITÁPOLIS","TERM. SACOMÃ",1
"00",2435,1,"N836-11","PQ. CONTINENTAL","TERM. PINHEIROS",1
"00",33343,2,"8528-10","PÇA. DO CORREIO","JD. GUARANI",3
"00",33459,2,"121G-10","METRÔ TUCURUVI","PQ. NOVO MUNDO",1
"00",1659,1,"5107-10","PÇA. DO CORREIO","TERM. SACOMÃ",1
"00",33536,2,"4113-10","PÇA. DA REPÚBLICA","GENTIL DE MOURA",1
"00",35198,2,"N831-11","PQ. DA LAPA","TERM. LAPA",1
"00",34541,2,"6063-41","TERM. VARGINHA","JD. NOVO MARILDA",11
"00",34435,2,"5021-10","TERM. SACOMÃ","ÁGUA FUNDA",1
"00",2406,1,"N701-11","TERM. PQ. D. PEDRO II","TERM. STO. AMARO",1
"00",2405,1,"N640-11","ELDORADO","TERM. STO. AMARO",1
"00",485,1,"702C-10","METRÔ BELÉM","JD. BONFIGLIOLI",1
"00",926,1,"2712-10","SHOP. METRÔ ITAQUERA","JD. SÃO NICOLAU",4
"00",2104,1,"2010-10","SHOP. D","PQ. EDU CHAVES",1
"00",34958,2,"4017-10","VL. YOLANDA","METALÚRGICOS",1
"00",33743,2,"3054-10","HOSP. SAPOPEMBA","JD. PALANQUE",1
"00",2079,1,"8072-10","METRÔ MORUMBI","PQ. IPÊ",1
"00",33787,2,"3721-10","METRÔ ARTUR ALVIM","SHOP. ARICANDUVA",1
"00",2369,1,"N436-11","BARRO BRANCO","TERM. CID. TIRADENTES",1
"00",35063,2,"N139-11","JD. PAULISTANO","TERM. PIRITUBA",1
"00",33452,2,"271M-10","METRÔ SANTANA","PQ. NOVO MUNDO",2
"00",35130,2,"N406-11","TERM. SÃO MATEUS","TERM. CID. TIRADENTES",1
"00",1129,1,"517J-10","TERM. ÁGUA ESPRAIADA","JD. SELMA",1
"00",2607,1,"8084-10","CID. UNIVERSITÁRIA","METRÔ BUTANTÃ",1
"00",33763,2,"3139-10","PÇA. JOÃO MENDES","JD. VL. FORMOSA",1
"00",32781,2,"6836-10","TERM. JOÃO DIAS","CAPÃO REDONDO",1
"00",930,1,"2717-10","CANGAÍBA","METRÔ GUILHERMINA/ESPERANÇA",1
"00",616,1,"971R-42","METRÔ SANTANA","CDHU VOITH",1
"00",33705,2,"2723-10","METRÔ ITAQUERA","UNIÃO DE VL. NOVA",5
"00",1063,1,"3785-10","METRÔ ITAQUERA","COHAB BARRO BRANCO",2
"00",1726,1,"8020-10","SHOP. MORUMBI","BUTANTÃ",1
"00",995,1,"3139-10","PÇA. JOÃO MENDES","JD. VL. FORMOSA",1
"00",1654,1,"2710-31","TERM. A. E. CARVALHO","METRÔ PATRIARCA",1
"00",33910,2,"6030-10","TERM. STO. AMARO","UNISA-CAMPUS 1",2
"00",919,1,"2707-10","METRÔ ITAQUERA","CHABILÂNDIA",2
"00",849,1,"1705-10","METRÔ TUCURUVI","JD. SÃO JOÃO",2
"00",2189,1,"4016-10","JD. RODOLFO PIRANI","TERM. SÃO MATEUS",1
"00",1861,1,"5018-31","JABAQUARA","SHOP. INTERLAGOS",1
"00",34021,2,"8003-10","TERM. LAPA","REMÉDIOS",1
"00",33258,2,"715M-10","LGO. DA PÓLVORA","JD. MARIA LUIZA",4
"00",1636,1,"425E-10","JD. ESTER","TERM. SAPOPEMBA",1
"00",34200,2,"8600-10","LGO. DO PAISSANDÚ","TERM. PIRITUBA",1
"00",931,1,"2718-10","METRÔ PENHA","VL. SÍLVIA",1
"00",33901,2,"546J-10","STO. AMARO","JD. SELMA",1
"00",2414,1,"N733-11","VL. GILDA","TERM. JD. ÂNGELA",1
"00",672,1,"1738-10","METRÔ SANTANA","VL. CONSTANÇA",1
"00",108,1,"675M-10","METRÔ JABAQUARA","CENTRO SESC",2
"00",858,1,"172P-10","METRÔ BELÉM","VL. ZILDA",1
"00",33086,2,"407M-10","METRÔ VL. MARIANA","VL. MONUMENTO",1
"00",33158,2,"273N-10","METRÔ VL. MATILDE","CID. KEMEL II",4
"00",929,1,"2716-10","METRÔ PENHA","CHÁC. CRUZ. DO SUL",1
"00",34507,2,"6062-51","TERM. STO. AMARO","JD. CASTRO ALVES",2
"00",33188,2,"8062-10","LAPA","PQ. SÃO DOMINGOS",1
"00",34950,2,"4008-10","TERM. VL. CARRÃO","JD. CIBELE",1
"00",922,1,"2709-10","VL. UNIÃO","METRÔ PATRIARCA",1
"00",2502,1,"7017-10","TERM. GUARAPIRANGA","JD. GUARUJÁ",1
"00",32885,2,"508L-10","ACLIMAÇÃO","TERM. PRINC. ISABEL",2
"00",34395,2,"5144-10","TERM. PRINC. ISABEL","TERM. SAPOPEMBA",2
"00",34077,2,"6049-10","STO. AMARO","VALO VELHO",1
"00",34353,2,"6093-10","TERM. GRAJAÚ","VARGEM GRANDE",2
"00",2286,1,"N105-11","TERM. LAPA","TERM. CACHOEIRINHA",1
"00",33568,2,"8013-10","LAPA","TERM. JD. BRITANIA",2
"00",2188,1,"4015-10","JD. RODOLFO PIRANI","TERM. SÃO MATEUS",1
"00",34717,2,"809L-10","LAPA","CAMPO LIMPO",2
"00",33848,2,"3112-10","METRÔ BELÉM","VL. INDUSTRIAL",3
"00",35153,2,"N533-11","JD. PLANALTO","TERM. VL. PRUDENTE",1
"00",2410,1,"N705-11","TERM. PINHEIROS","TERM. STO. AMARO",1
"00",33434,2,"1721-10","METRÔ CARANDIRU","VL. SABRINA",1
"00",34418,2,"3001-10","TERM. SÃO MIGUEL","ITAIM PAULISTA",1
"00",900,1,"2014-10","METRÔ BARRA FUNDA","JD. PERY ALTO",21
"00",34831,2,"8610-10","TERM. BANDEIRA","JD. PAULO VI",1
"00",877,1,"9009-10","TERM. CACHOEIRINHA","COHAB BRASILÂNDIA",1
"00",32953,2,"637A-10","TERM. PINHEIROS","TERM. JD. ÂNGELA",2
"00",1381,1,"877T-10","METRÔ PARAÍSO","VL. ANASTÁCIO",1
"00",154,1,"211V-10","PENHA","VL. PARANAGUÁ",1
"00",35067,2,"N143-11","MORRO GRANDE","METRÔ BARRA FUNDA",1
"00",220,1,"2713-10","CHÁC. BELA VISTA","METRÔ PENHA",1
"00",33730,2,"3026-10","CPTM GUAIANASES","VL. IOLANDA II",1
"00",2433,1,"N834-11","TERM. PINHEIROS","TERM. LAPA",1
"00",2401,1,"N636-11","JD. NORONHA","TERM. GRAJAÚ",1
"00",35257,2,"TREI-10","TREINAMENTO","TREINAMENTO",1
"00",186,1,"6013-10","TERM. STO. AMARO","JD. NAKAMURA",1
"00",34742,2,"5129-41","STO. AMARO","JD. MIRIAM",1
"00",33112,2,"475R-10","TERM. PQ. D. PEDRO II","JD. SÃO SAVÉRIO",19
"00",2176,1,"4001-10","TERM. VL. CARRÃO","ITAQUERA",2
"00",703,1,"271A-51","METRÔ SANTANA","CANGAÍBA",1
"00",33638,2,"9002-10","TERM. CACHOEIRINHA","JD. PERY ALTO",1
"00",34035,2,"8500-10","METRÔ BARRA FUNDA","TERM. PIRITUBA",1
"00",33222,2,"888P-10","COHAB TAIPAS","PERUS",1
"00",34974,2,"407Y-10","METRÔ VL. PRUDENTE","PQ. SAVOY CITY",1
"00",33794,2,"3729-10","METRÔ CARRÃO","SHOP. ARICANDUVA",1
"00",33174,2,"8040-10","TERM. LAPA","SOL NASCENTE",1
"00",34,1,"6823-10","TERM. CAPELINHA","JD. GUARUJÁ",1
"00",1305,1,"5106-31","METRÔ ANA ROSA","JD. SELMA",1
"00",1657,1,"5705-10","METRÔ VERGUEIRO","TERM. SACOMÃ",1
"00",34209,2,"695X-10","METRÔ JABAQUARA","TERM. VARGINHA",3
"00",34439,2,"514T-10","CONJ. HAB. TEOTÔNIO VILELA","TERM. SACOMÃ",2
"00",35140,2,"N439-11","COHAB FAZENDA DO CARMO","METRÔ ITAQUERA",1
"00",621,1,"107T-10","TERM. PINHEIROS","METRÔ TUCURUVI",2
"00",1258,1,"8008-10","TERM. PIRITUBA","STA. MÔNICA",1
"00",33245,2,"874C-10","METRÔ - TRIANON - MASP ","PQ. CONTINENTAL",2
"00",32913,2,"2765-10","METRÔ TATUAPÉ","VL. CISPER",1
"00",33011,2,"2770-10","METRÔ VL. MATILDE","CPTM JOSÉ BONIFÁCIO",2
"00",1917,1,"8605-10","TERM. BANDEIRA","TERM. CAMPO LIMPO",2
"00",2250,1,"4086-10","CIRCULAR","TERM. CID. TIRADENTES",1
"00",1103,1,"4033-10","NOVA CONQUISTA","JD. GUAIRACÁ",3
"00",1647,1,"374V-10","METRÔ ITAQUERA","JD. SANTANA",2
